precinct,maximum_ticketed_car_type,percentage_maximum_ticketed_car_type,maximum_ticketed_vehicle_color,percentage_maximum_ticketed_vehicle_color,maximum_ticketed_violation_code,maximum_ticketed_violation_definition,maximum_ticketed_plate_type,percent_maximum_ticketed_plate_type,quotas_condition_met,max_tickets_issued_time_of_day,collisions,time
63,Suburban,43.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,255.0,12-2018
66,Suburban,62.0,BLACK,35.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,305.0,12-2018
67,4 Door Sedan,43.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,318.0,12-2018
68,Suburban,47.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,321.0,12-2018
69,4 Door Sedan,44.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,181.0,12-2018
70,Suburban,45.0,BLACK,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,291.0,12-2018
71,Suburban,42.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,204.0,12-2018
72,Suburban,50.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,282.0,12-2018
73,Suburban,39.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,False,Morning,214.0,12-2018
75,4 Door Sedan,46.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,554.0,12-2018
76,Suburban,51.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,124.0,12-2018
77,Suburban,41.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,160.0,12-2018
78,Suburban,51.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,174.0,12-2018
79,Suburban,50.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,185.0,12-2018
81,4 Door Sedan,44.0,BLACK,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,96.0,12-2018
83,Suburban,41.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,199.0,12-2018
84,Suburban,38.0,WHITE,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,74.0,False,Morning,240.0,12-2018
88,Suburban,43.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,127.0,12-2018
90,Suburban,56.0,BLACK,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,285.0,12-2018
94,Suburban,44.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,196.0,12-2018
100,Suburban,46.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,62.0,12-2018
101,4 Door Sedan,40.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Night,103.0,12-2018
102,Suburban,41.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,361.0,12-2018
103,4 Door Sedan,43.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Afternoon,293.0,12-2018
104,Suburban,41.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,362.0,12-2018
105,Suburban,38.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,False,Afternoon,670.0,12-2018
106,Suburban,45.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,False,Afternoon,438.0,12-2018
107,4 Door Sedan,42.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,389.0,12-2018
108,Suburban,40.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,False,Morning,396.0,12-2018
109,Suburban,47.0,WHITE,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,False,Morning,629.0,12-2018
110,Suburban,45.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,False,Morning,384.0,12-2018
111,Suburban,44.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,False,Afternoon,386.0,12-2018
112,Suburban,42.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,False,Morning,257.0,12-2018
113,4 Door Sedan,42.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,85.0,False,Afternoon,353.0,12-2018
114,Suburban,41.0,BLACK,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,408.0,12-2018
115,Suburban,44.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,False,Morning,313.0,12-2018
120,4 Door Sedan,45.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,220.0,12-2018
121,Suburban,44.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,92.0,True,Morning,400.0,12-2018
122,Suburban,46.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,387.0,12-2018
123,4 Door Sedan,38.0,BLACK,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,93.0,True,Morning,177.0,12-2018
1,Van,40.0,WHITE,49.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,48.0,False,Afternoon,196.0,1-2019
5,Suburban,31.0,WHITE,39.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,59.0,False,Afternoon,161.0,1-2019
6,Van,37.0,WHITE,45.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,51.0,False,Afternoon,101.0,1-2019
7,Suburban,35.0,WHITE,35.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,64.0,False,Afternoon,84.0,1-2019
9,Van,32.0,WHITE,43.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,53.0,False,Afternoon,87.0,1-2019
10,Van,34.0,WHITE,51.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,49.0,True,Afternoon,177.0,1-2019
13,Van,32.0,WHITE,51.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,49.0,True,Afternoon,204.0,1-2019
14,Van,34.0,WHITE,57.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,49.0,False,Morning,205.0,1-2019
17,Van,30.0,WHITE,52.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,51.0,False,Afternoon,246.0,1-2019
18,Van,35.0,WHITE,58.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,47.0,False,Morning,267.0,1-2019
19,Van,40.0,WHITE,47.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,49.0,True,Morning,329.0,1-2019
20,Van,35.0,WHITE,43.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,56.0,True,Morning,128.0,1-2019
22,Van,48.0,WHITE,50.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,53.0,True,Morning,8.0,1-2019
23,Suburban,34.0,WHITE,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,66.0,True,Morning,107.0,1-2019
24,Van,32.0,WHITE,41.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,59.0,False,Morning,75.0,1-2019
25,Suburban,35.0,WHITE,35.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,68.0,False,Morning,163.0,1-2019
26,Suburban,33.0,WHITE,37.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,68.0,False,Morning,68.0,1-2019
28,Suburban,37.0,WHITE,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,72.0,False,Morning,72.0,1-2019
30,Suburban,38.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,True,Morning,59.0,1-2019
32,Suburban,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Night,111.0,1-2019
33,Suburban,35.0,WHITE,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,False,Morning,123.0,1-2019
34,Suburban,40.0,WHITE,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,False,Afternoon,152.0,1-2019
40,Suburban,42.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,300.0,1-2019
41,Suburban,36.0,WHITE,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,False,Night,142.0,1-2019
42,Suburban,41.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Night,137.0,1-2019
43,Suburban,42.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,317.0,1-2019
44,Suburban,42.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,False,Morning,249.0,1-2019
45,Suburban,43.0,BLACK,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,False,Afternoon,257.0,1-2019
46,Suburban,41.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,False,Morning,188.0,1-2019
47,Suburban,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,316.0,1-2019
48,Suburban,45.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,194.0,1-2019
49,Suburban,43.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,199.0,1-2019
50,Suburban,42.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,165.0,1-2019
52,Suburban,42.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,False,Morning,253.0,1-2019
60,Suburban,45.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,167.0,1-2019
61,Suburban,51.0,BLACK,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,False,Morning,221.0,1-2019
62,Suburban,49.0,BLACK,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,226.0,1-2019
63,Suburban,46.0,BLACK,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,222.0,1-2019
66,Suburban,63.0,GRAY,35.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,237.0,1-2019
67,4 Door Sedan,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,287.0,1-2019
68,Suburban,49.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,217.0,1-2019
69,4 Door Sedan,45.0,GRAY,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,174.0,1-2019
70,Suburban,47.0,BLACK,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,255.0,1-2019
71,Suburban,46.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,158.0,1-2019
72,Suburban,51.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,252.0,1-2019
73,Suburban,39.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,174.0,1-2019
75,Suburban,43.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,531.0,1-2019
76,Suburban,52.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,134.0,1-2019
77,Suburban,45.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,171.0,1-2019
78,Suburban,52.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,133.0,1-2019
79,Suburban,50.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,180.0,1-2019
81,Suburban,44.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,91.0,1-2019
83,Suburban,44.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,208.0,1-2019
84,Suburban,37.0,WHITE,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,70.0,True,Morning,237.0,1-2019
88,Suburban,45.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,129.0,1-2019
90,Suburban,56.0,BLACK,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,278.0,1-2019
94,Suburban,47.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,172.0,1-2019
100,Suburban,43.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,True,Morning,54.0,1-2019
101,Suburban,40.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,92.0,True,Morning,75.0,1-2019
102,Suburban,41.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,True,Morning,310.0,1-2019
103,4 Door Sedan,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Afternoon,253.0,1-2019
104,Suburban,44.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,335.0,1-2019
105,4 Door Sedan,40.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,86.0,False,Afternoon,543.0,1-2019
106,Suburban,46.0,BLACK,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Afternoon,383.0,1-2019
107,Suburban,45.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,338.0,1-2019
108,Suburban,41.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,True,Morning,369.0,1-2019
109,Suburban,50.0,WHITE,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,78.0,False,Morning,596.0,1-2019
110,Suburban,45.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,True,Morning,275.0,1-2019
111,Suburban,48.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Afternoon,341.0,1-2019
112,Suburban,44.0,BLACK,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,True,Morning,235.0,1-2019
113,4 Door Sedan,41.0,BLACK,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,84.0,False,Night,312.0,1-2019
114,Suburban,42.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,369.0,1-2019
115,Suburban,45.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Morning,273.0,1-2019
120,Suburban,45.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,True,Morning,221.0,1-2019
121,Suburban,41.0,BLACK,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,287.0,1-2019
122,Suburban,49.0,BLACK,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,True,Morning,296.0,1-2019
123,Suburban,47.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,127.0,1-2019
1,Van,40.0,WHITE,49.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,48.0,True,Afternoon,209.0,2-2019
5,Suburban,31.0,WHITE,40.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,59.0,True,Afternoon,185.0,2-2019
6,Van,37.0,WHITE,46.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,50.0,True,Afternoon,93.0,2-2019
7,Suburban,35.0,WHITE,36.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,64.0,True,Morning,88.0,2-2019
9,Van,31.0,WHITE,44.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,55.0,True,Afternoon,113.0,2-2019
10,Van,34.0,WHITE,52.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,True,Morning,199.0,2-2019
13,Van,32.0,WHITE,51.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,49.0,True,Afternoon,181.0,2-2019
14,Van,35.0,WHITE,58.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,True,Afternoon,171.0,2-2019
17,Van,29.0,WHITE,52.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,50.0,True,Morning,207.0,2-2019
18,Van,36.0,WHITE,59.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,47.0,True,Morning,254.0,2-2019
19,Van,40.0,WHITE,47.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,48.0,True,Morning,327.0,2-2019
20,Van,37.0,WHITE,43.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,53.0,True,Morning,119.0,2-2019
22,4 Door Sedan,21.0,WHITE,42.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,65.0,,Morning,8.0,2-2019
23,Suburban,34.0,WHITE,35.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,63.0,True,Morning,98.0,2-2019
24,Van,33.0,WHITE,43.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,57.0,True,Morning,70.0,2-2019
25,Suburban,33.0,WHITE,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,True,Morning,156.0,2-2019
26,Suburban,35.0,WHITE,37.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,True,Morning,80.0,2-2019
28,Suburban,36.0,WHITE,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,70.0,True,Morning,53.0,2-2019
30,Suburban,39.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Morning,74.0,2-2019
32,Suburban,39.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Night,96.0,2-2019
33,Suburban,35.0,WHITE,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,True,Morning,124.0,2-2019
34,Suburban,39.0,WHITE,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,73.0,True,Afternoon,140.0,2-2019
40,Suburban,40.0,BLACK,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,True,Afternoon,264.0,2-2019
41,Suburban,39.0,WHITE,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Morning,139.0,2-2019
42,Suburban,42.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,126.0,2-2019
43,Suburban,42.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,True,Morning,273.0,2-2019
44,Suburban,41.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Afternoon,243.0,2-2019
45,Suburban,43.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Afternoon,235.0,2-2019
46,Suburban,41.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Afternoon,184.0,2-2019
47,Suburban,39.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,309.0,2-2019
48,Suburban,42.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,167.0,2-2019
49,Suburban,42.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,187.0,2-2019
50,Suburban,42.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,177.0,2-2019
52,Suburban,42.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,241.0,2-2019
60,Suburban,47.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,162.0,2-2019
61,Suburban,53.0,BLACK,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,244.0,2-2019
62,Suburban,49.0,BLACK,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,246.0,2-2019
63,Suburban,47.0,GRAY,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,198.0,2-2019
66,Suburban,64.0,BLACK,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Morning,264.0,2-2019
67,Suburban,42.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,248.0,2-2019
68,Suburban,49.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,240.0,2-2019
69,4 Door Sedan,41.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,151.0,2-2019
70,Suburban,48.0,BLACK,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Afternoon,231.0,2-2019
71,Suburban,45.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,177.0,2-2019
72,Suburban,49.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,266.0,2-2019
73,Suburban,41.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,183.0,2-2019
75,4 Door Sedan,44.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,441.0,2-2019
76,Suburban,50.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,98.0,2-2019
77,Suburban,43.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,156.0,2-2019
78,Suburban,51.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,125.0,2-2019
79,Suburban,49.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,149.0,2-2019
81,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,True,Morning,72.0,2-2019
83,Suburban,43.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,True,Morning,188.0,2-2019
84,Suburban,38.0,WHITE,30.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,71.0,True,Afternoon,229.0,2-2019
88,Suburban,44.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,126.0,2-2019
90,Suburban,56.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,281.0,2-2019
94,Suburban,45.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,157.0,2-2019
100,Suburban,43.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,49.0,2-2019
101,Suburban,41.0,BLACK,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,91.0,False,Morning,80.0,2-2019
102,Suburban,42.0,BLACK,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,293.0,2-2019
103,4 Door Sedan,41.0,BLACK,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,80.0,True,Afternoon,240.0,2-2019
104,Suburban,44.0,BLACK,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,296.0,2-2019
105,Suburban,42.0,BLACK,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,86.0,True,Afternoon,545.0,2-2019
106,Suburban,46.0,BLACK,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Afternoon,337.0,2-2019
107,Suburban,45.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,375.0,2-2019
108,Suburban,42.0,BLACK,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,74.0,True,Morning,346.0,2-2019
109,Suburban,48.0,WHITE,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,77.0,True,Morning,548.0,2-2019
110,Suburban,45.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,True,Morning,283.0,2-2019
111,Suburban,47.0,BLACK,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,True,Afternoon,311.0,2-2019
112,Suburban,44.0,WHITE,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,80.0,True,Morning,244.0,2-2019
113,Suburban,39.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,83.0,True,Night,301.0,2-2019
114,Suburban,42.0,BLACK,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,79.0,True,Morning,341.0,2-2019
115,Suburban,44.0,BLACK,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,True,Morning,217.0,2-2019
120,Suburban,45.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,91.0,True,Morning,219.0,2-2019
121,Suburban,44.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,280.0,2-2019
